# vendor name, device_name, burst length (value:probability/value:probability/...), mac_policy, VHT capabilities, extended capabilities, HT capabilities, supported_rates (Mbps), ext_supported_rates (Mbps)
vivo,x70pro+,1:0.84/2:0.66,3,?,6d7edca87bde,df6f445335580ca8,6:0.23/9:0.38/12:0.11/18:0.28,24:0.27/36:0.73
iQOO,iQOO Neo5,1:0.22,2,?,f4ca99de21cb,4eda79a94578f88e,6:0.31/9:0.15/12:0.31/18:0.24,24:0.44/36:0.56
Lenovo,think pad p15gen1,1:0.52/2:0.2/3:0.33,1,?,a55f206b05a8,3408959adf9ca418,6:0.31/9:0.27/12:0.37/18:0.05,24:0.57/36:0.43
iQOO,iQOO Neo7,1:0.23,1,?,d09b04c35a45,4ce207dddb0e0413,6:0.15/9:0.4/12:0.07/18:0.37,24:0.82/36:0.18
Xiaomi,redmi note9pro,1:0.59,2,?,7ea9fb94f2a5,215c9769dad10a0a,6:0.06/9:0.33/12:0.28/18:0.33,24:0.44/36:0.56
OPPO,oppo ace2,1:0.41,0,?,4ab7dd724f3b,257efc445096815b,6:0.22/9:0.37/12:0.33/18:0.08,24:0.17/36:0.83
MeiZu,18,1:0.58,1,a84031e4a85edcec,a855b47b84e2,5977272bbc3d810b,6:0.19/9:0.11/12:0.4/18:0.31,24:0.65/36:0.35
OnePlus,one plus9pro,1:0.38/2:0.36,0,?,d172549fb24c,013f8a0413301775,6:0.16/9:0.11/12:0.35/18:0.38,24:0.38/36:0.62
Samsung,galaxys20fe,1:0.15/2:0.68/3:0.13,0,?,19218669fd5d,25515dc3daae6722,6:0.23/9:0.28/12:0.36/18:0.13,24:0.55/36:0.45
Xiaomi,note8t,1:0.17/2:0.68/3:0.64,1,?,68872e2f4b7e,3c38350f6b258e1d,6:0.45/9:0.21/12:0.19/18:0.15,24:0.62/36:0.38
Xiaomi,mi10lite,1:0.23/2:0.28,0,10e04bc4f8a10d68,f567f5190ab6,529b0760815e3b68,6:0.25/9:0.32/12:0.15/18:0.28,24:0.19/36:0.81
OPPO,oppo ace2,1:0.23,3,?,9e74faf5bc0a,4dc5a7b11a35427a,6:0.29/9:0.19/12:0.17/18:0.35,24:0.66/36:0.34
Lenovo,think pad x1yoga,1:0.71,2,?,1cbdfbef8e19,d579975e7beb283a,6:0.5/9:0.2/12:0.21/18:0.09,24:0.25/36:0.75
honor,honor90,1:0.26/2:0.52,2,?,11a324c554d2,3b5d60378fa2dab9,6:0.31/9:0.06/12:0.29/18:0.34,24:0.38/36:0.62
OPPO,oppo a93,1:0.76/2:0.56/3:0.41,3,390c63ab75e0f0a4,a8de722e0917,09bd6008c39276a2,6:0.3/9:0.08/12:0.31/18:0.31,24:0.43/36:0.57
OnePlus,one plus Nord,1:0.84,3,3e49ca461f33b0c5,81f7a0ef1312,1fb87520d1ffe6b1,6:0.41/9:0.21/12:0.18/18:0.21,24:0.7/36:0.3
Nubia,red magic7,1:0.6/2:0.55/3:0.16,3,?,8440f3769487,932eeb2dd945cace,6:0.3/9:0.18/12:0.25/18:0.26,24:0.51/36:0.49
vivo,x60pro,1:0.89/2:0.67/3:0.67,1,?,45c38955f157,5d58f2545e94c679,6:0.17/9:0.24/12:0.25/18:0.34,24:0.61/36:0.39
MeiZu,18plus,1:0.35/2:0.26/3:0.57,3,?,0f528d3f7212,b5021e721bcd5214,6:0.26/9:0.1/12:0.31/18:0.33,24:0.47/36:0.53
Lenovo,lenovo think book 14p,1:0.17/2:0.69,0,?,66bd855ab03b,70673ce1b8899648,6:0.08/9:0.38/12:0.39/18:0.15,24:0.6/36:0.4
iQOO,iQOO Neo6,1:0.56,2,?,dbb725c61983,beb5a08d6857d656,6:0.19/9:0.22/12:0.24/18:0.34,24:0.31/36:0.69
OPPO,oppo a1pro,1:0.25/2:0.17,0,b1562b058274142d,4db991054af0,ed0ec91d272e9f4c,6:0.29/9:0.11/12:0.32/18:0.29,24:0.15/36:0.85
Lenovo,think pad x28 gen1,1:0.88/2:0.12/3:0.35,1,?,e1b9014b8809,f07f664b9d490a44,6:0.13/9:0.16/12:0.22/18:0.5,24:0.42/36:0.58
MeiZu,18lite,1:0.6,2,?,8644deae5f08,07e392e8771f9251,6:0.26/9:0.26/12:0.28/18:0.19,24:0.5/36:0.5
vivo,x60pro+,1:0.52/2:0.34/3:0.12,2,?,5235c8ed9a23,ebc8c51b13c57e22,6:0.09/9:0.35/12:0.4/18:0.16,24:0.73/36:0.27
Samsung,galaxys21,1:0.32,0,f177d5960a59b3b7,a93e24d309bb,721515068b1c0184,6:0.17/9:0.3/12:0.15/18:0.38,24:0.52/36:0.48
Xiaomi,mi9pro,1:0.38/2:0.77/3:0.55,1,?,f86c42dc0500,38a3cefde8f6ce8a,6:0.1/9:0.43/12:0.36/18:0.12,24:0.31/36:0.69
Nubia,red magic7,1:0.23,2,7dd9cc6bcd961db6,6917811da634,46ce8b14d329e850,6:0.11/9:0.4/12:0.14/18:0.35,24:0.63/36:0.37
iQOO,iQOO 10,1:0.75,0,3994fa15948be485,faf2e8687385,95a858aad358fb3a,6:0.37/9:0.14/12:0.41/18:0.08,24:0.18/36:0.82
Lenovo,lenovo think book 13s,1:0.32,2,?,75fbf83552a7,7546cc513ecd3ddc,6:0.31/9:0.13/12:0.43/18:0.14,24:0.56/36:0.44
OPPO,find x3pro,1:0.66/2:0.64/3:0.26,0,?,b6c6405eb54c,b4de01b71a968111,6:0.33/9:0.18/12:0.08/18:0.41,24:0.38/36:0.62
Samsung,galaxys20,1:0.48/2:0.58/3:0.29,0,d988c54972d265a3,5815a1984416,6cdcbc1520528d99,6:0.33/9:0.18/12:0.36/18:0.13,24:0.49/36:0.51
OnePlus,one plus9pro,1:0.44,3,?,692bfe70050b,a366f46cfc05f51b,6:0.39/9:0.28/12:0.13/18:0.2,24:0.68/36:0.32
OPPO,find x5pro,1:0.57/2:0.47/3:0.16,0,06c11a2a895aca9a,5dc2cd5ffb51,51a1a8eee30138ee,6:0.2/9:0.26/12:0.4/18:0.14,24:0.43/36:0.57
MeiZu,18,1:0.19,2,?,7fd71f4cbcd5,002f5b6c25daa3cd,6:0.19/9:0.24/12:0.22/18:0.35,24:0.65/36:0.35
vivo,x80,1:0.57/2:0.5/3:0.39,1,3208c35673ec34d1,4f213c6bab4d,2d7efbd1e3fc2b40,6:0.32/9:0.08/12:0.37/18:0.24,24:0.3/36:0.7
iQOO,iQOO Neo6,1:0.38,1,?,03b1e1c49f1c,408b175635a7bbd3,6:0.15/9:0.25/12:0.27/18:0.33,24:0.11/36:0.89
Xiaomi,mi8ud,1:0.66/2:0.37/3:0.52,2,84ab3c768daef22e,55ccaf8b79d7,44476888ede4db3c,6:0.07/9:0.34/12:0.3/18:0.29,24:0.81/36:0.19
honor,honor91,1:0.38/2:0.19/3:0.7,2,?,992131985a14,07798411c09ba51a,6:0.19/9:0.06/12:0.37/18:0.39,24:0.64/36:0.36
MeiZu,18lite,1:0.15/2:0.53/3:0.88,0,?,993707f96115,bd68a6fc124fc5ba,6:0.2/9:0.12/12:0.35/18:0.33,24:0.64/36:0.36
Lenovo,think pad t14sgen1,1:0.18,2,?,4a14a0fda8ca,7fc0991a0a5e20b8,6:0.42/9:0.05/12:0.2/18:0.33,24:0.69/36:0.31
honor,honor91,1:0.75/2:0.55/3:0.87,0,?,91a4a95e0ebd,6803c34328251330,6:0.31/9:0.33/12:0.05/18:0.31,24:0.43/36:0.57
vivo,x60,1:0.26/2:0.76,3,4533b01f41bc3f21,eda7d4e05725,ee47ce402bed1e03,6:0.1/9:0.35/12:0.1/18:0.44,24:0.65/36:0.35
Xiaomi,redmi note9pro,1:0.65/2:0.78/3:0.45,0,?,b76555d0c553,a88e2590569ad4c4,6:0.28/9:0.35/12:0.14/18:0.22,24:0.53/36:0.47
iQOO,iQOO 10pro,1:0.17/2:0.56/3:0.43,0,?,dba868cb17ec,9afc4cff924b93bb,6:0.28/9:0.18/12:0.25/18:0.29,24:0.43/36:0.57
vivo,x60u,1:0.51,3,aa580fa4c02b69d4,173e652c53c6,c886476728ffe778,6:0.35/9:0.29/12:0.26/18:0.1,24:0.35/36:0.65
Huawei,mate20x,1:0.58/2:0.81,1,?,933fd69e1021,01b7360842086a37,6:0.27/9:0.29/12:0.23/18:0.21,24:0.62/36:0.38
