# device_name, Phase (0 Locked 1 Awake 2 Active), intra-burst interval (value:probability/value:probability/... ), inter-burst interval (value:probability/value:probability/... ), state dwell time (value:probability/... ), jitter (value:probability/... )
x70pro+,0,0.05:0.24,3.09:0.24,5:0.09/10:0.15/20:0.29/30:0.22/45:0.07/60:0.18,0.01:0.32/0.05:0.24/0.1:0.26/0.2:0.18
x70pro+,1,0.09:0.53/0.06:0.58/0.07:0.85,4.16:0.58/3.64:0.93,5:0.34/10:0.06/20:0.1/30:0.22/45:0.16/60:0.12,0.01:0.35/0.05:0.11/0.1:0.32/0.2:0.21
x70pro+,2,0.05:1.0,4.12:0.31/2.24:0.54/3.2:0.77,5:0.11/10:0.15/20:0.27/30:0.15/45:0.07/60:0.25,0.01:0.17/0.05:0.37/0.1:0.25/0.2:0.21
iQOO Neo5,0,0.07:0.77,2.05:0.48/4.41:0.48/4.19:0.91,5:0.09/10:0.06/20:0.28/30:0.19/45:0.19/60:0.18,0.01:0.42/0.05:0.28/0.1:0.07/0.2:0.23
iQOO Neo5,1,0.08:0.28/0.09:0.24/0.09:0.11,3.68:0.13/3.84:0.85/4.63:0.33,5:0.15/10:0.08/20:0.32/30:0.16/45:0.2/60:0.08,0.01:0.34/0.05:0.17/0.1:0.31/0.2:0.18
iQOO Neo5,2,0.04:0.26,2.75:0.33,5:0.07/10:0.05/20:0.15/30:0.14/45:0.38/60:0.22,0.01:0.14/0.05:0.21/0.1:0.3/0.2:0.35
think pad p15gen1,0,0.08:0.98/0.06:0.74,2.27:0.98/4.57:0.25/4.32:0.94,5:0.36/10:0.07/20:0.17/30:0.15/45:0.05/60:0.2,0.01:0.46/0.05:0.12/0.1:0.11/0.2:0.32
think pad p15gen1,1,0.07:0.7/0.1:0.28,2.59:0.12/4.12:0.17,5:0.07/10:0.25/20:0.11/30:0.32/45:0.19/60:0.06,0.01:0.34/0.05:0.07/0.1:0.35/0.2:0.24
think pad p15gen1,2,0.08:0.46,4.04:0.86/4.94:0.75/3.5:0.8,5:0.12/10:0.22/20:0.2/30:0.11/45:0.14/60:0.22,0.01:0.31/0.05:0.29/0.1:0.22/0.2:0.17
iQOO Neo7,0,0.04:0.6/0.06:0.65/0.06:0.7,3.36:0.6/2.13:0.19,5:0.04/10:0.29/20:0.3/30:0.08/45:0.11/60:0.19,0.01:0.15/0.05:0.32/0.1:0.2/0.2:0.32
iQOO Neo7,1,0.08:0.76,2.39:0.96,5:0.24/10:0.2/20:0.13/30:0.08/45:0.27/60:0.09,0.01:0.05/0.05:0.31/0.1:0.38/0.2:0.27
iQOO Neo7,2,0.05:0.67/0.07:0.34,4.76:0.61/4.61:0.98/3.46:0.18,5:0.12/10:0.22/20:0.04/30:0.28/45:0.21/60:0.14,0.01:0.35/0.05:0.22/0.1:0.15/0.2:0.27
